"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.p.value...0.001.","Test.1.G","Test.2.G","Test.3.G","control.1.G","control.2.G","control.3.G","change","label","FDR"
"334","Abcc8",23,3,2.93859945533586,3.0594896250326,1.19668143767626e-05,5.39195662061225e-05,5.34784101905644e-05,TRUE,5,8,10,1,1,1,"Up",NA,5.54871745398746e-05
"2883","Atp1a2",51,3,4.08746284125034,4.20835301094708,8.00470800754738e-14,5.41985018265865e-13,5.40014163653989e-13,TRUE,6,32,13,1,1,1,"Up",NA,5.55666623824891e-13
"3827","Cacna1c",84,19,2.14438990933518,2.26528007903191,1.59539048638635e-12,1.03091044388749e-11,1.03091044388749e-11,TRUE,55,28,1,14,4,1,"Up",NA,1.06245576632727e-11
"3831","Cacna1g",22,3,2.87446911791614,2.99535928761288,2.27132570055355e-05,0.000100077469403777,9.95029671976887e-05,TRUE,10,11,1,1,1,1,"Up",NA,0.000103305976804168
"3835","Cacna2d1",79,3,4.71881824745595,4.83970841715268,0,0,0,TRUE,40,38,1,1,1,1,"Up",NA,0
"3840","Cacnb2",51,8,2.6724253419715,2.79331551166823,5.02909491828518e-10,2.9292014257731e-09,2.9292014257731e-09,TRUE,29,21,1,1,1,6,"Up",NA,3.02477449274149e-09
"3841","Cacnb3",194,3,6.01495034146597,6.13584051116271,0,0,0,TRUE,1,192,1,1,1,1,"Up",NA,0
"4685","Cftr",110,26,2.08091999538357,2.20181016508031,1.99840144432528e-15,1.42358154394101e-14,1.42348730446372e-14,TRUE,49,60,1,1,1,24,"Up",NA,1.4642766987848e-14
"33812","Grik1",9906,327,4.92094,5.04183,0,0,0,TRUE,660,9245,1,1,1,325,"Up",NA,0
"33813","Grik2",461,72,2.678698,2.799588,0,0,0,TRUE,388,72,1,5,1,66,"Up",NA,0
"33817","Grin1",445,39,3.512259,3.633149,0,0,0,TRUE,16,428,1,1,37,1,"Up",NA,0
"33820","Grin2b",1008,45,4.485427,4.606317,0,0,0,TRUE,434,573,1,7,37,1,"Up",NA,0
"34150","Hcn1",46717,4107,3.507791,3.628681,0,0,0,TRUE,5839,7502,33376,4075,31,1,"Up",NA,0
"34152","Hcn3",100,3,5.058894,5.179784,0,0,0,TRUE,9,24,67,1,1,1,"Up",NA,0
"35627","Kcna2",55,3,4.196397,4.317287,4.996004e-15,3.515893e-14,3.506261e-14,TRUE,53,1,1,1,1,1,"Up",NA,3.605764e-14
"35637","Kcnb1",108,3,5.169925,5.290815,0,0,0,TRUE,90,17,1,1,1,1,"Up",NA,0
"35640","Kcnc2",1284,3,8.741467,8.862357,0,0,0,TRUE,755,517,12,1,1,1,"Up",NA,0
"35657","Kcnh1",29,3,3.273018,3.393909,2.396009e-07,1.209038e-06,1.202273e-06,TRUE,15,13,1,1,1,1,"Up",NA,1.244213e-06
"35661","Kcnh5",101,15,2.751321,2.872211,0,0,0,TRUE,68,32,1,13,1,1,"Up",NA,0
"35670","Kcnj10",105,3,5.129283,5.250173,0,0,0,TRUE,89,15,1,1,1,1,"Up",NA,0
"35682","Kcnj8",242,6,5.333901,5.454791,0,0,0,TRUE,27,214,1,4,1,1,"Up",NA,0
"35683","Kcnj9",43,3,3.841302,3.962192,1.948408e-11,1.204001e-10,1.19966e-10,TRUE,17,25,1,1,1,1,"Up",NA,1.236984e-10
"35687","Kcnk13",59,3,4.297681,4.418571,3.330669e-16,2.437673e-15,2.429081e-15,TRUE,13,1,45,1,1,1,"Up",NA,2.498592e-15
"35701","Kcnmb3",113,3,5.235216,5.356107,0,0,0,TRUE,90,22,1,1,1,1,"Up",NA,0
"35711","Kcnq2",68,3,4.5025,4.623391,0,0,0,TRUE,5,62,1,1,1,1,"Up",NA,0
"36968","Mcu",458,12,5.254241,5.375131,0,0,0,TRUE,410,47,1,6,1,5,"Up",NA,0
"44904","Scn11a",26,3,3.115477,3.236367,1.715205e-06,8.201549e-06,8.162736e-06,TRUE,10,15,1,1,1,1,"Up",NA,8.461677e-06
"44907","Scn2a",4935,351,3.813507,3.934397,0,0,0,TRUE,100,282,4553,145,151,55,"Up",NA,0
"44908","Scn2b",198,8,4.629357,4.750247,0,0,0,TRUE,196,1,1,6,1,1,"Up",NA,0
"44913","Scn5a",28,3,3.222392,3.343283,4.629538e-07,2.296352e-06,2.284871e-06,TRUE,17,10,1,1,1,1,"Up",NA,2.366884e-06
"44915","Scn8a",652,15,5.441838,5.562728,0,0,0,TRUE,75,362,215,13,1,1,"Up",NA,0
"45435","Slc17a8",47,7,2.747234,2.868124,1.411572e-09,8.01858e-09,8.017733e-09,TRUE,27,19,1,1,5,1,"Up",NA,8.279155e-09
"48407","Trpc4",1500,186,3.011588,3.132478,0,0,0,TRUE,716,783,1,178,7,1,"Up","Trpc4",0
